City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bolshoye Selo,88,RU,1551141833,94,57.72,38.93,32.33,12.68
Mtambile,80,TZ,1551141833,99,-5.38,39.7,82.51,12.24
Ameca,68,MX,1551141834,29,20.55,-104.05,75.89,4.18
Anloga,20,GH,1551139200,74,5.79,0.9,82.4,4.7
Bicester,0,GB,1551141620,74,51.9,-1.15,45,3.18
Smithers,5,CA,1551139200,48,54.78,-127.17,17.6,5.41
Redcliffe,0,GB,1551141797,49,51.45,-2.59,46.4,5.82
Alta Floresta,64,BR,1551141835,91,-9.87,-56.08,76.61,2.06
Thurso,20,GB,1551141304,71,58.6,-3.52,51.8,11.41
Alta Gracia,75,AR,1551141369,82,-31.66,-64.43,66,6.93
Saldanha,0,PT,1551141836,78,41.42,-6.55,36.29,2.62
Mehamn,36,NO,1551141836,87,71.03,27.85,21.98,1.83
Umm Lajj,12,SA,1551141837,87,25.02,37.27,64.82,1.28
Sao Raimundo das Mangabeiras,56,BR,1551141837,95,-7.02,-45.48,72.61,3.51
Margate,75,AU,1551141736,67,-43.03,147.26,59,13.87
Arlit,64,NE,1551141838,54,18.74,7.39,60.68,2.95
Kumano,20,JP,1551141730,100,34.34,132.59,54,3.36
Tautira,75,PF,1551141185,66,-17.73,-149.15,87.8,11.41
Hobyo,92,SO,1551141839,90,5.35,48.53,77.11,13.47
Corinto,24,BR,1551141546,75,-18.36,-44.46,77.38,2.62
Havoysund,0,NO,1551138600,86,71,24.66,26.6,2.24
Galveston,1,US,1551141838,42,40.58,-86.19,30.99,3.36
Vostok,8,RU,1551141839,57,46.45,135.83,18.29,3.62
Geraldton,5,CA,1551139200,57,49.72,-86.95,-7.61,6.93
Alyangula,75,AU,1551139740,83,-13.85,136.42,77,12.75
Yen Bai,88,VN,1551141733,100,21.7,104.87,59.06,2.95
Haimen,0,CN,1551141774,83,31.87,121.18,52,11.23
Portland,90,US,1551141454,51,45.52,-122.67,37.4,14.99
Maceio,40,BR,1551139200,83,-9.67,-35.74,78.8,6.93
Gweta,8,BW,1551141841,55,-20.21,25.26,74.05,7.43
Homer,1,US,1551141670,55,59.64,-151.54,39.2,8.05
Palm City,90,PK,1551141592,76,33.58,73.11,50,16.11
Iquique,0,CL,1551139200,56,-20.22,-70.14,73.4,11.41
Omboue,48,GA,1551141842,100,-1.57,9.26,83.18,5.41
Pahrump,1,US,1551141375,26,36.21,-115.98,57.2,8.05
Erzin,40,TR,1551141800,81,36.95,36.2,54,3.36
Constitucion,5,MX,1551141617,13,23.99,-104.67,73.4,21.92
Mazagao,40,BR,1551139200,100,-0.12,-51.29,80.6,3.36
Mecca,48,SA,1551141623,80,21.43,39.83,67.34,2.62
Pochutla,5,MX,1551141021,66,15.74,-96.47,86,6.93
Kaeo,68,NZ,1551141485,63,-35.1,173.78,72,8.99
Khandyga,0,RU,1551141844,44,62.65,135.58,-28.24,2.62
Boa Vista,0,BR,1551139200,37,2.82,-60.67,86,6.93
Harper,40,US,1551141759,59,30.3,-99.24,62.01,12.75
Richards Bay,0,ZA,1551141847,86,-28.77,32.06,73.91,11.9
Marystown,88,CA,1551141098,100,47.17,-55.16,34,18.28
Bathurst,36,AU,1551141607,50,-33.42,149.58,78.01,1.99
Tiarei,75,PF,1551141185,66,-17.53,-149.33,87.8,11.41
Jinchang,64,CN,1551141848,61,38.52,102.19,4.7,2.62
Batagay,12,RU,1551141848,0,67.65,134.64,-39.85,2.95
Jasper,24,US,1551141771,57,33.83,-87.28,57.2,2.95
Mozhaysk,88,RU,1551141848,92,55.5,36.03,31.93,14.03
Sabya,0,YE,1551141849,91,16.19,43.1,64.28,1.61
Japura,92,ID,1551141849,95,-0.42,102.29,74.68,1.61
Vila,0,IT,1551141845,60,45.18,8.4,48.99,2.24
Silvan,0,TR,1551140400,86,38.14,41.01,34,4.7
Zaysan,12,KZ,1551141849,48,47.47,84.87,-0.3,1.61
Kandava,92,LV,1551141850,88,57.04,22.77,34.63,11.45
Vila Franca do Campo,20,PT,1551141793,71,37.72,-25.43,55,11.41
Port Lincoln,0,AU,1551141850,74,-34.72,135.86,74.41,12.68
Terra Nova,20,BR,1551139200,79,-12.41,-38.62,84.2,13.87
Whitianga,12,NZ,1551141612,47,-36.83,175.7,79,5.01
Camacari,20,BR,1551139200,79,-12.7,-38.32,84.2,13.87
Imeni Poliny Osipenko,0,RU,1551141851,60,52.42,136.49,1.06,2.51
Tupancireta,92,BR,1551141851,91,-29.08,-53.84,67.52,7.87
Maragogi,12,BR,1551141852,93,-9.01,-35.22,78.1,8.1
Mitsamiouli,40,KM,1551139200,94,-11.38,43.28,75.2,7.43
Rehoboth,68,NA,1551141852,27,-23.31,17.08,70.04,9.22
Whitehorse,40,CA,1551141166,47,60.72,-135.06,18,3.18
Hoa Binh,75,VN,1551139200,100,20.81,105.34,59,4.7
Ajdabiya,12,LY,1551141853,83,30.75,20.22,40.07,6.2
Vallenar,0,CL,1551141853,81,-28.58,-70.76,65,1.95
Sakaiminato,75,JP,1551141117,39,35.55,133.23,48.2,8.05
Pachmarhi,88,IN,1551141854,67,22.47,78.44,54.02,1.95
Yar-Sale,92,RU,1551141854,90,66.83,70.83,19.91,21.3
Maturin,20,VE,1551141854,77,9.75,-63.18,76.07,7.43
Mana,0,RS,1551139200,85,43.52,20.24,23,1.12
Faya,0,SA,1551139200,71,18.39,42.45,60.8,4.97
Vestmannaeyjar,92,IS,1551141855,91,63.44,-20.27,47.05,31.92
Port Hedland,0,AU,1551139200,79,-20.31,118.58,87.8,6.93
Timbuktu,0,ML,1551141856,28,16.77,-3.01,61.22,12.68
Hamilton,20,BM,1551141116,63,32.3,-64.78,64.4,19.46
Tuy Hoa,92,VN,1551141856,100,13.08,109.3,73.91,5.41
Dvinskoy,88,RU,1551141857,95,62.16,45.12,29.86,3.96
Bandarbeyla,92,SO,1551141857,100,9.49,50.81,76.88,10.22
Baruun-Urt,0,MN,1551141857,53,46.68,113.28,5.11,5.64
Fort Frances,1,CA,1551141123,48,48.61,-93.4,-4.01,8.05
Iralaya,24,HN,1551141858,89,15,-83.23,77.96,11.12
Saint Anthony,90,US,1551141639,69,43.97,-111.68,39.99,9.17
Port Blair,20,IN,1551139200,88,11.67,92.75,77,1.12
Saint Peters,1,US,1551141844,61,35.62,-89.39,53.01,5.82
Calvinia,0,ZA,1551141859,56,-31.47,19.78,55.64,3.85
Mattru,0,SL,1551141859,63,7.62,-11.83,80.48,6.2
Takoradi,8,GH,1551141860,100,4.89,-1.75,82.01,9.66
Cherskiy,8,RU,1551141860,62,68.75,161.3,-21.63,5.41
Branisca,20,RO,1551141860,86,45.92,22.78,17.8,1.95
Te Anau,88,NZ,1551141860,51,-45.41,167.72,59.2,9.89
Listvyanskiy,64,RU,1551141861,86,54.44,83.49,13.43,9.66
Kyzyl-Suu,0,KG,1551141861,100,42.34,78,13.66,4.41
Payyannur,0,IN,1551141861,100,12.1,75.2,80.53,8.99
Aranjuez,0,ES,1551141846,75,40.03,-3.6,55.99,4.7
Goderich,32,CA,1551141832,40,43.74,-81.71,21.99,15.93
Celestun,64,MX,1551141865,100,20.87,-90.4,76.25,16.71
Dedza,12,MW,1551141866,89,-14.38,34.33,58.61,2.39
Machakos,0,KE,1551139200,77,-1.52,37.27,64.4,8.05
Aklavik,20,CA,1551139200,63,68.22,-135.01,30.2,6.93
Maniitsoq,56,GL,1551141866,77,65.42,-52.9,10.6,3.96
Biltine,80,TD,1551141866,43,14.53,20.93,71.84,4.18
Sinop,56,TR,1551141867,100,42.03,35.15,41.38,10.45
Conguaco,68,GT,1551141867,40,14.05,-90.03,87.73,5.19
Coihaique,40,CL,1551139200,66,-45.58,-72.07,53.6,6.93
Yashan,12,CN,1551141868,86,30.81,118.02,36.92,2.84
Bilibino,56,RU,1551141868,74,68.06,166.44,-18.16,3.18
Gornopravdinsk,80,RU,1551141868,85,60.06,69.92,21.35,6.53
Cap Malheureux,40,MU,1551141542,83,-19.98,57.61,80.6,8.05
Ronne,0,FR,1551141861,70,48.45,0.83,48,4.7
Yulara,0,AU,1551139200,14,-25.24,130.99,91.4,12.75
Berdigestyakh,76,RU,1551141869,74,62.1,126.7,-0.43,8.1
Celinac,0,BA,1551139200,55,44.72,17.33,33.8,2.24
Cooma,48,AU,1551139200,29,-36.24,149.13,78.8,10.29
Linxia,88,CN,1551141870,87,35.6,103.21,19.82,3.4
Pouebo,88,NC,1551141870,93,-20.4,164.57,74.63,17.72
Edd,0,ER,1551141870,87,13.93,41.69,61.63,2.51
Finschhafen,8,PG,1551141870,69,-6.6,147.85,82.28,2.62
Kamenka,92,RU,1551140370,94,53.19,44.05,32,5.97
Buarcos,0,PT,1551141538,81,40.16,-8.88,55,3.36
Irbeyskoye,0,RU,1551141871,66,55.64,95.45,4.97,3.96
Colares,0,PT,1551141869,55,38.8,-9.45,61,3.36
Beatrice,90,US,1551141575,66,40.27,-96.75,12.2,10.29
Esteli,0,NI,1551141607,69,13.09,-86.35,69.01,4
Mbigou,92,GA,1551141872,96,-1.9,11.91,70.81,2.84
Say,0,NE,1551139200,10,13.1,2.36,73.4,3.36
Muros,0,ES,1551141838,76,42.77,-9.06,57.99,1.39
Xucheng,12,CN,1551141757,99,33,118.51,48,4
Makokou,92,GA,1551141873,93,0.56,12.85,74.86,2.39
Wanning,20,AT,1551141857,80,48.64,13.53,37,5.82
Beloha,32,MG,1551141874,85,-25.17,45.06,74.5,4.18
Sampit,48,ID,1551141874,96,-2.54,112.95,76.34,4.63
Brejo da Madre de Deus,32,BR,1551141874,90,-8.14,-36.37,70.18,4.85
Kargasok,68,RU,1551141874,74,59.06,80.87,13.75,6.76
